,id,mean_acc_[HSTrees],acc_[HSTrees],mean_acc_[iForestASD],acc_[iForestASD],mean_f1_[HSTrees],f1_[HSTrees],mean_f1_[iForestASD],f1_[iForestASD],mean_precision_[HSTrees],precision_[HSTrees],mean_precision_[iForestASD],precision_[iForestASD],mean_recall_[HSTrees],recall_[HSTrees],mean_recall_[iForestASD],recall_[iForestASD],true_value,predicted_value_[HSTrees],predicted_value_[iForestASD],mean_kappa_[HSTrees],kappa_[HSTrees],mean_kappa_[iForestASD],kappa_[iForestASD],mean_kappa_m_[HSTrees],kappa_m_[HSTrees],mean_kappa_m_[iForestASD],kappa_m_[iForestASD],training_time_[HSTrees],testing_time_[HSTrees],total_running_time_[HSTrees],training_time_[iForestASD],testing_time_[iForestASD],total_running_time_[iForestASD],model_size_[HSTrees],model_size_[iForestASD],window,estimators,updates,Windows_Trees_set_up
8,9999,"0,221122","0,221122","0,230623","0,230623","0,356789","0,356789","0,223291","0,223291","0,217129","0,217129","0,218549","0,218549",1,1,"0,202924","0,202924",0,1,1,"0,002821","0,002821","-0,206028","-0,206028","-2,608897","-2,608897","-2,564875","-2,564875","114,14167","6,038783","120,180453","10,397701","382,287237","392,684938","211202,967773","300,77832",50,30,0,W50__T30
6,9999,"0,221122","0,221122","0,232923","0,232923","0,356789","0,356789","0,225528","0,225528","0,217129","0,217129","0,220529","0,220529",1,1,"0,205132","0,205132",0,1,1,"0,002821","0,002821","-0,202529","-0,202529","-2,608897","-2,608897","-2,554217","-2,554217","189,297228","8,878387","198,175615","18,427804","635,499497","653,927301","352002,678711","507,547852",50,50,0,W50__T50
1,9999,"0,221122","0,221122","0,228523","0,228523","0,356789","0,356789","0,22153","0,22153","0,217129","0,217129","0,217063","0,217063",1,1,"0,201807","0,201807",0,1,1,"0,002821","0,002821","-0,207492","-0,207492","-2,608897","-2,608897","-2,574606","-2,574606","384,85828","16,082552","400,940832","44,219062","1277,090572","1321,309634","704001,936523","955,118164",50,100,0,W50__T100
11,9999,"0,646665","0,646665","0,353435","0,353435","0,387376","0,387376","0,300347","0,300347","0,309676","0,309676","0,264744","0,264744","0,51713","0,51713","0,233564","0,233564",0,0,1,"0,160532","0,160532","-0,181272","-0,181272","-0,637164","-0,637164","-1,995829","-1,995829","64,731976","12,740461","77,472437","12,17428","907,996616","920,170895","211203,487305","574,856445",100,30,0,W100__T30
7,9999,"0,645865","0,645865","0,343134","0,343134","0,387264","0,387264","0,291894","0,291894","0,309201","0,309201","0,259316","0,259316","0,518056","0,518056","0,226166","0,226166",0,0,1,"0,159992","0,159992","-0,194021","-0,194021","-0,640871","-0,640871","-2,043559","-2,043559","108,345752","19,763666","128,109417","22,782209","1489,763602","1512,54581","352003,280273","870,926758",100,50,0,W100__T50
3,9999,"0,644064","0,644064","0,358136","0,358136","0,386062","0,386062","0,30333","0,30333","0,307671","0,307671","0,266347","0,266347","0,518056","0,518056","0,235563","0,235563",0,0,1,"0,157764","0,157764","-0,178432","-0,178432","-0,649212","-0,649212","-1,97405","-1,97405","224,661842","38,618159","263,280002","61,174407","3017,679378","3078,853784","704002,510742","1692,594727",100,100,0,W100__T100
9,9999,"0,662166","0,662166","0,628563","0,628563","0,385595","0,385595","0,492614","0,492614","0,317555","0,317555","0,376132","0,376132","0,490741","0,490741","0,369214","0,369214",0,0,1,"0,167127","0,167127","0,112877","0,112877","-0,565338","-0,565338","-0,721038","-0,721038","23,055636","13,302289","36,357924","19,74763","5711,448863","5731,196493","211228,014648","1949,09082",500,30,0,W500__T30
10,9999,"0,665167","0,665167","0,616462","0,616462","0,386813","0,386813","0,47107","0,47107","0,32","0,32","0,36096","0,36096","0,488889","0,488889","0,350094","0,350094",0,0,1,"0,170107","0,170107","0,067659","0,067659","-0,551437","-0,551437","-0,777108","-0,777108","41,436848","21,251807","62,688654","31,276602","9520,5606","9551,837202","352043,94043","2734,930664",500,50,0,W500__T50
2,9999,"0,664466","0,664466","0,610461","0,610461","0,386318","0,386318","0,470925","0,470925","0,319323","0,319323","0,361054","0,361054","0,488889","0,488889","0,351344","0,351344",0,0,1,"0,169191","0,169191","0,069518","0,069518","-0,55468","-0,55468","-0,804912","-0,804912","82,00306","40,681949","122,685009","62,658931","19015,338394","19077,997326","704084,323242","5041,172852",500,100,0,W500__T100
4,9999,"0,744374","0,744374","0,567157","0,567157","0,54406","0,54406","0,402743","0,402743","0,442542","0,442542","0,319143","0,319143","0,706019","0,706019","0,28687","0,28687",0,0,0,"0,379187","0,379187","-0,046679","-0,046679","-0,18443","-0,18443","-1,005561","-1,005561","19,026519","12,893822","31,920341","18,344478","11866,36107","11884,705548","211228,370117","3353,786133",1000,30,0,W1000__T30
0,9999,"0,744974","0,744974","0,557256","0,557256","0,544643","0,544643","0,403448","0,403448","0,443314","0,443314","0,32022","0,32022","0,706019","0,706019","0,28758","0,28758",0,0,1,"0,380131","0,380131","-0,04381","-0,04381","-0,18165","-0,18165","-1,051437","-1,051437","32,298103","20,387297","52,6854","31,457706","20367,234382","20398,692088","352044,870117","4764,84082",1000,50,0,W1000__T50
5,9999,"0,748475","0,748475","0,565257","0,565257","0,547255","0,547255","0,404795","0,404795","0,447717","0,447717","0,320866","0,320866","0,703704","0,703704","0,28841","0,28841",0,0,1,"0,384817","0,384817","-0,042539","-0,042539","-0,165431","-0,165431","-1,014365","-1,014365","65,440206","39,254593","104,694799","61,580053","40853,215469","40914,795522","704085,170898","8180,610352",1000,100,0,W1000__T100
