,id,mean_acc_[HSTrees],acc_[HSTrees],mean_acc_[iForestASD],acc_[iForestASD],mean_f1_[HSTrees],f1_[HSTrees],mean_f1_[iForestASD],f1_[iForestASD],mean_precision_[HSTrees],precision_[HSTrees],mean_precision_[iForestASD],precision_[iForestASD],mean_recall_[HSTrees],recall_[HSTrees],mean_recall_[iForestASD],recall_[iForestASD],true_value,predicted_value_[HSTrees],predicted_value_[iForestASD],mean_kappa_[HSTrees],kappa_[HSTrees],mean_kappa_[iForestASD],kappa_[iForestASD],mean_kappa_m_[HSTrees],kappa_m_[HSTrees],mean_kappa_m_[iForestASD],kappa_m_[iForestASD],training_time_[HSTrees],testing_time_[HSTrees],total_running_time_[HSTrees],training_time_[iForestASD],testing_time_[iForestASD],total_running_time_[iForestASD],model_size_[HSTrees],model_size_[iForestASD],window,estimators,updates,Windows_Trees_set_up
8,9999,"0,074907","0,074907","0,850885","0,850885","0,131781","0,131781","0,637299","0,637299","0,070567","0,070567","0,441267","0,441267","0,994334","0,994334","0,605769","0,605769",0,1,0,"-8,60E-05","-8,60E-05","0,419962","0,419962","-12,101983","-12,101983","-1,111898","-1,111898","114,911997","6,153368","121,065365","9,769954","397,374724","407,144678","211203,436523","258,395508",50,30,0,W50__T30
6,9999,"0,074907","0,074907","0,853785","0,853785","0,131781","0,131781","0,639295","0,639295","0,070567","0,070567","0,442389","0,442389","0,994334","0,994334","0,605064","0,605064",0,1,0,"-8,60E-05","-8,60E-05","0,424125","0,424125","-12,101983","-12,101983","-1,070822","-1,070822","192,018558","8,940165","200,958722","16,391028","671,072186","687,463214","352003,147461","412,235352",50,50,0,W50__T50
1,9999,"0,074907","0,074907","0,856086","0,856086","0,131781","0,131781","0,642661","0,642661","0,070567","0,070567","0,444194","0,444194","0,994334","0,994334","0,608507","0,608507",0,1,0,"-8,60E-05","-8,60E-05","0,431067","0,431067","-12,101983","-12,101983","-1,038244","-1,038244","393,604521","16,226367","409,830888","39,84677","1384,754247","1424,601017","704002,37793","740,946289",50,100,0,W50__T100
11,9999,"0,148615","0,148615","0,909991","0,909991","0,140014","0,140014","0,708572","0,708572","0,075383","0,075383","0,487827","0,487827","0,981586","0,981586","0,62435","0,62435",0,1,0,"0,01021","0,01021","0,56303","0,56303","-11,058074","-11,058074","-0,274788","-0,274788","66,568025","12,037496","78,605521","11,5857","965,332397","976,918097","211204,584961","457,946289",100,30,0,W100__T30
7,9999,"0,082608","0,082608","0,915292","0,915292","0,132084","0,132084","0,715958","0,715958","0,07077","0,07077","0,493545","0,493545","0,988669","0,988669","0,625379","0,625379",0,1,0,"0,000349","0,000349","0,578751","0,578751","-11,992918","-11,992918","-0,199717","-0,199717","111,934507","17,612234","129,546741","21,770441","1825,362159","1847,1326","352004,37793","697,461914",100,50,0,W100__T50
3,9999,"0,10381","0,10381","0,908691","0,908691","0,134119","0,134119","0,706904","0,706904","0,071969","0,071969","0,486521","0,486521","0,983003","0,983003","0,62432","0,62432",0,1,0,"0,002923","0,002923","0,559473","0,559473","-11,692635","-11,692635","-0,293201","-0,293201","225,218311","33,729636","258,947947","61,050804","4005,671654","4066,722458","704003,553711","1277,211914",100,100,0,W100__T100
9,9999,"0,185919","0,185919","0,929493","0,929493","0,139717","0,139717","0,800237","0,800237","0,075491","0,075491","0,595396","0,595396","0,936261","0,936261","0,606913","0,606913",0,1,0,"0,010398","0,010398","0,619272","0,619272","-10,529745","-10,529745","0,001416","0,001416","27,406993","14,400651","41,807644","34,969255","21680,460961","21715,430216","211224,737305","7662,875977",500,30,0,W500__T30
10,9999,"0,145115","0,145115","0,929993","0,929993","0,134643","0,134643","0,801897","0,801897","0,072503","0,072503","0,596438","0,596438","0,941926","0,941926","0,608401","0,608401",0,1,0,"0,004053","0,004053","0,622147","0,622147","-11,107649","-11,107649","0,008499","0,008499","45,496851","22,227942","67,724793","47,158082","26544,605656","26591,763738","352036,041992","9853,55957",500,50,0,W500__T50
2,9999,"0,270427","0,270427","0,929593","0,929593","0,152434","0,152434","0,801572","0,801572","0,083027","0,083027","0,593715","0,593715","0,929178","0,929178","0,611312","0,611312",0,1,0,"0,026199","0,026199","0,623133","0,623133","-9,332861","-9,332861","0,002833","0,002833","93,624662","44,436373","138,061035","98,449479","49997,019409","50095,468888","704064,366211","7680,918945",500,100,0,W500__T100
4,9999,"0,416342","0,416342","0,882188","0,882188","0,172199","0,172199","0,779815","0,779815","0,095681","0,095681","0,607934","0,607934","0,859773","0,859773","0,563771","0,563771",0,1,0,"0,051695","0,051695","0,469629","0,469629","-7,266289","-7,266289","-0,668555","-0,668555","20,2884","14,10572","34,39412","41,825402","60386,187194","60428,012597","211241,745117","10113,297852",1000,30,0,W1000__T30
0,9999,"0,243024","0,243024","0,882888","0,882888","0,141934","0,141934","0,781002","0,781002","0,077141","0,077141","0,612935","0,612935","0,886686","0,886686","0,560968","0,560968",0,1,0,"0,013817","0,013817","0,468464","0,468464","-9,720963","-9,720963","-0,65864","-0,65864","38,057808","23,016984","61,074792","52,548432","71691,858462","71744,406894","352065,682617","12781,77832",1000,50,0,W1000__T50
